experiment,variant,benchmark,status,num_cycles,num_inst,ipc,raw_output,p_l1d_hit_lat,p_l1d_line_sz,p_l1d_num_sets,p_l1d_num_ways,p_l1i_hit_lat,p_l1i_line_sz,p_l1i_num_sets,p_l1i_num_ways,p_l2_hit_lat,p_l2_line_sz,p_l2_num_sets,p_l2_num_ways,p_l3_hit_lat,p_l3_line_sz,p_l3_num_sets,p_l3_num_ways
default,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/default/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/default/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/default/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/default/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/default/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/default/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,inclusive,masked-filter,1,23456,4931,0.210223,build/experiments/raw/inclusive/default/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
default,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/default/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,2048,8
l1-half-capacity,exclusive,bin-search,1,5608,1017,0.181348,build/experiments/raw/exclusive/l1-half-capacity/ubmark-bin-search.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l1-half-capacity/ubmark-cmplx-mult.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/l1-half-capacity/ubmark-masked-filter.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l1-half-capacity/ubmark-vvadd.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,inclusive,bin-search,1,5729,1017,0.177518,build/experiments/raw/inclusive/l1-half-capacity/ubmark-bin-search.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/l1-half-capacity/ubmark-cmplx-mult.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,inclusive,masked-filter,1,23444,4931,0.210331,build/experiments/raw/inclusive/l1-half-capacity/ubmark-masked-filter.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-half-capacity,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/l1-half-capacity/ubmark-vvadd.out,1,16,128,1,1,16,128,1,4,16,512,4,10,16,2048,8
l1-double-capacity,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/l1-double-capacity/ubmark-bin-search.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l1-double-capacity/ubmark-cmplx-mult.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,exclusive,masked-filter,1,22655,4931,0.217656,build/experiments/raw/exclusive/l1-double-capacity/ubmark-masked-filter.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l1-double-capacity/ubmark-vvadd.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/l1-double-capacity/ubmark-bin-search.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/l1-double-capacity/ubmark-cmplx-mult.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,inclusive,masked-filter,1,23150,4931,0.213002,build/experiments/raw/inclusive/l1-double-capacity/ubmark-masked-filter.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l1-double-capacity,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/l1-double-capacity/ubmark-vvadd.out,1,16,512,1,1,16,512,1,4,16,512,4,10,16,2048,8
l2-low-assoc,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/l2-low-assoc/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l2-low-assoc/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/l2-low-assoc/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l2-low-assoc/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/l2-low-assoc/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/l2-low-assoc/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,inclusive,masked-filter,1,23456,4931,0.210223,build/experiments/raw/inclusive/l2-low-assoc/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-low-assoc,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/l2-low-assoc/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,2,10,16,2048,8
l2-high-assoc,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/l2-high-assoc/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l2-high-assoc/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/l2-high-assoc/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l2-high-assoc/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/l2-high-assoc/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/l2-high-assoc/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,inclusive,masked-filter,1,23456,4931,0.210223,build/experiments/raw/inclusive/l2-high-assoc/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l2-high-assoc,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/l2-high-assoc/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,8,10,16,2048,8
l3-half-capacity,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/l3-half-capacity/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l3-half-capacity/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/l3-half-capacity/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l3-half-capacity/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/l3-half-capacity/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,inclusive,cmplx-mult,1,8984,1723,0.191785,build/experiments/raw/inclusive/l3-half-capacity/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,inclusive,masked-filter,1,23456,4931,0.210223,build/experiments/raw/inclusive/l3-half-capacity/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-half-capacity,inclusive,vvadd,1,3030,453,0.149505,build/experiments/raw/inclusive/l3-half-capacity/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,1024,8
l3-double-capacity,exclusive,bin-search,1,5527,1017,0.184006,build/experiments/raw/exclusive/l3-double-capacity/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,4096,8
l3-double-capacity,exclusive,cmplx-mult,1,8771,1723,0.196443,build/experiments/raw/exclusive/l3-double-capacity/ubmark-cmplx-mult.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,4096,8
l3-double-capacity,exclusive,masked-filter,1,22923,4931,0.215111,build/experiments/raw/exclusive/l3-double-capacity/ubmark-masked-filter.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,4096,8
l3-double-capacity,exclusive,vvadd,1,2879,453,0.157346,build/experiments/raw/exclusive/l3-double-capacity/ubmark-vvadd.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,4096,8
l3-double-capacity,inclusive,bin-search,1,5709,1017,0.17814,build/experiments/raw/inclusive/l3-double-capacity/ubmark-bin-search.out,1,16,256,1,1,16,256,1,4,16,512,4,10,16,4096,8
